Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,122,4,Some Random Commen with Id 0
1,0,1,57,1,Some Random Commen with Id 1
2,1,3,44,6,Some Random Commen with Id 2
3,1,3,179,4,Some Random Commen with Id 3
4,1,3,101,9,Some Random Commen with Id 4
5,1,3,86,8,Some Random Commen with Id 5
6,1,3,13,5,Some Random Commen with Id 6
7,1,3,131,1,Some Random Commen with Id 7
8,1,3,166,9,Some Random Commen with Id 8
9,1,3,90,4,Some Random Commen with Id 9
10,1,3,79,6,Some Random Commen with Id 10
11,2,2,34,7,Some Random Commen with Id 11
12,2,2,133,3,Some Random Commen with Id 12
13,2,2,176,0,Some Random Commen with Id 13
14,3,7,124,8,Some Random Commen with Id 14
15,3,7,187,6,Some Random Commen with Id 15
16,3,7,188,8,Some Random Commen with Id 16
17,3,7,87,2,Some Random Commen with Id 17
18,3,7,115,9,Some Random Commen with Id 18
19,3,7,2,3,Some Random Commen with Id 19
20,3,7,196,3,Some Random Commen with Id 20
21,4,8,89,1,Some Random Commen with Id 21
22,4,8,18,6,Some Random Commen with Id 22
23,4,8,146,1,Some Random Commen with Id 23
24,6,0,99,8,Some Random Commen with Id 24
25,6,0,162,4,Some Random Commen with Id 25
26,7,5,105,2,Some Random Commen with Id 26
27,8,8,187,2,Some Random Commen with Id 27
28,8,8,199,9,Some Random Commen with Id 28
29,9,9,115,8,Some Random Commen with Id 29
30,9,9,107,4,Some Random Commen with Id 30
31,9,9,179,7,Some Random Commen with Id 31
32,9,9,161,8,Some Random Commen with Id 32
33,9,9,55,7,Some Random Commen with Id 33
34,9,9,86,9,Some Random Commen with Id 34
35,9,9,138,8,Some Random Commen with Id 35
36,9,9,7,3,Some Random Commen with Id 36
37,9,9,48,6,Some Random Commen with Id 37
38,10,4,8,4,Some Random Commen with Id 38
39,10,4,76,7,Some Random Commen with Id 39
40,10,4,88,1,Some Random Commen with Id 40
41,10,4,61,2,Some Random Commen with Id 41
42,10,4,47,9,Some Random Commen with Id 42
43,10,4,167,5,Some Random Commen with Id 43
44,10,4,29,2,Some Random Commen with Id 44
45,11,9,143,6,Some Random Commen with Id 45
46,12,4,7,6,Some Random Commen with Id 46
47,12,4,16,9,Some Random Commen with Id 47
48,12,4,49,8,Some Random Commen with Id 48
49,12,4,127,3,Some Random Commen with Id 49
50,14,7,14,4,Some Random Commen with Id 50
51,14,7,195,5,Some Random Commen with Id 51
52,14,7,2,8,Some Random Commen with Id 52
53,14,7,191,5,Some Random Commen with Id 53
54,14,7,60,8,Some Random Commen with Id 54
55,14,7,69,5,Some Random Commen with Id 55
56,14,7,92,7,Some Random Commen with Id 56
57,15,3,1,3,Some Random Commen with Id 57
58,15,3,159,5,Some Random Commen with Id 58
59,15,3,189,2,Some Random Commen with Id 59
60,15,3,163,0,Some Random Commen with Id 60
61,15,3,13,4,Some Random Commen with Id 61
62,15,3,60,4,Some Random Commen with Id 62
63,16,9,105,0,Some Random Commen with Id 63
64,16,9,172,9,Some Random Commen with Id 64
65,16,9,32,2,Some Random Commen with Id 65
66,16,9,37,2,Some Random Commen with Id 66
67,16,9,172,4,Some Random Commen with Id 67
68,17,9,171,9,Some Random Commen with Id 68
69,17,9,156,0,Some Random Commen with Id 69
70,17,9,116,1,Some Random Commen with Id 70
71,17,9,68,6,Some Random Commen with Id 71
72,17,9,46,8,Some Random Commen with Id 72
73,17,9,149,9,Some Random Commen with Id 73
74,17,9,179,6,Some Random Commen with Id 74
75,18,2,187,8,Some Random Commen with Id 75
76,18,2,177,3,Some Random Commen with Id 76
77,18,2,109,5,Some Random Commen with Id 77
78,19,1,168,1,Some Random Commen with Id 78
79,19,1,83,0,Some Random Commen with Id 79
80,19,1,120,2,Some Random Commen with Id 80
81,19,1,107,2,Some Random Commen with Id 81
82,20,8,9,2,Some Random Commen with Id 82
83,21,8,85,4,Some Random Commen with Id 83
84,21,8,8,9,Some Random Commen with Id 84
85,23,0,154,7,Some Random Commen with Id 85
86,24,0,82,4,Some Random Commen with Id 86
87,24,0,123,7,Some Random Commen with Id 87
88,24,0,190,3,Some Random Commen with Id 88
89,24,0,39,9,Some Random Commen with Id 89
90,24,0,106,9,Some Random Commen with Id 90
91,24,0,31,3,Some Random Commen with Id 91
92,25,8,102,0,Some Random Commen with Id 92
93,25,8,7,4,Some Random Commen with Id 93
94,25,8,145,6,Some Random Commen with Id 94
95,25,8,55,6,Some Random Commen with Id 95
96,25,8,12,4,Some Random Commen with Id 96
97,25,8,107,8,Some Random Commen with Id 97
98,25,8,107,3,Some Random Commen with Id 98
99,26,9,46,2,Some Random Commen with Id 99
100,26,9,198,6,Some Random Commen with Id 100
101,26,9,184,4,Some Random Commen with Id 101
102,26,9,59,0,Some Random Commen with Id 102
103,26,9,41,3,Some Random Commen with Id 103
104,26,9,92,2,Some Random Commen with Id 104
105,27,2,77,6,Some Random Commen with Id 105
106,27,2,2,7,Some Random Commen with Id 106
107,27,2,179,5,Some Random Commen with Id 107
108,27,2,31,8,Some Random Commen with Id 108
109,27,2,15,2,Some Random Commen with Id 109
110,27,2,165,2,Some Random Commen with Id 110
111,28,3,35,5,Some Random Commen with Id 111
112,28,3,185,8,Some Random Commen with Id 112
113,28,3,27,5,Some Random Commen with Id 113
114,28,3,1,0,Some Random Commen with Id 114
115,29,4,103,1,Some Random Commen with Id 115
116,30,5,127,2,Some Random Commen with Id 116
117,30,5,104,2,Some Random Commen with Id 117
118,30,5,140,9,Some Random Commen with Id 118
119,30,5,71,7,Some Random Commen with Id 119
120,30,5,7,7,Some Random Commen with Id 120
121,30,5,48,1,Some Random Commen with Id 121
122,30,5,8,4,Some Random Commen with Id 122
123,31,6,33,1,Some Random Commen with Id 123
124,31,6,176,9,Some Random Commen with Id 124
125,31,6,19,5,Some Random Commen with Id 125
126,31,6,81,9,Some Random Commen with Id 126
127,31,6,159,3,Some Random Commen with Id 127
128,31,6,148,7,Some Random Commen with Id 128
129,31,6,135,2,Some Random Commen with Id 129
130,31,6,164,4,Some Random Commen with Id 130
131,31,6,165,7,Some Random Commen with Id 131
132,32,4,97,3,Some Random Commen with Id 132
133,32,4,56,6,Some Random Commen with Id 133
134,32,4,56,5,Some Random Commen with Id 134
135,32,4,170,7,Some Random Commen with Id 135
136,32,4,71,7,Some Random Commen with Id 136
137,32,4,188,1,Some Random Commen with Id 137
138,32,4,87,0,Some Random Commen with Id 138
139,32,4,94,3,Some Random Commen with Id 139
140,32,4,91,4,Some Random Commen with Id 140
141,33,1,21,5,Some Random Commen with Id 141
142,33,1,91,5,Some Random Commen with Id 142
143,33,1,174,2,Some Random Commen with Id 143
144,33,1,174,1,Some Random Commen with Id 144
145,34,4,14,2,Some Random Commen with Id 145
146,34,4,77,4,Some Random Commen with Id 146
147,34,4,160,2,Some Random Commen with Id 147
148,34,4,82,0,Some Random Commen with Id 148
149,34,4,160,5,Some Random Commen with Id 149
150,34,4,23,6,Some Random Commen with Id 150
151,34,4,43,8,Some Random Commen with Id 151
152,34,4,63,0,Some Random Commen with Id 152
153,35,6,101,9,Some Random Commen with Id 153
154,35,6,178,7,Some Random Commen with Id 154
155,35,6,181,0,Some Random Commen with Id 155
156,35,6,161,9,Some Random Commen with Id 156
157,35,6,136,8,Some Random Commen with Id 157
158,35,6,147,6,Some Random Commen with Id 158
159,35,6,150,2,Some Random Commen with Id 159
160,35,6,170,2,Some Random Commen with Id 160
161,36,4,100,3,Some Random Commen with Id 161
162,36,4,161,9,Some Random Commen with Id 162
163,36,4,126,4,Some Random Commen with Id 163
164,36,4,189,9,Some Random Commen with Id 164
165,37,7,62,1,Some Random Commen with Id 165
166,38,9,86,6,Some Random Commen with Id 166
167,39,6,12,1,Some Random Commen with Id 167
